RF,U
0.0,0.0
5152.768020629883,0.05525524914264679
5623.963939189911,0.11051049828529358
5848.056365966797,0.16576574742794037
5993.035906791687,0.22102099657058716
6127.543733119965,0.30390387773513794
6218.660164833069,0.4282281994819641
6262.6134152412415,0.6147146821022034
6306.447448730469,0.8357356786727905
6343.131057262421,1.056756615638733
6373.309693813324,1.2777776718139648
6397.219636440277,1.4987986087799072
6414.777164936066,1.7198196649551392
6423.621903896332,1.9408406019210815
6427.71878528595,1.996095895767212
6429.830696105957,2.0789787769317627
6427.710923194885,2.203303098678589
6427.405529499054,2.210210084915161
