RF,U
0.0,0.0
5152.186789989471,0.05525524914264679
5621.195174217224,0.11051049828529358
5842.867613315582,0.16576574742794037
5985.270157814026,0.22102099657058716
6115.6345138549805,0.30390387773513794
6199.874707221985,0.4282281994819641
6219.769446849823,0.6147146821022034
6220.472538471222,0.8357356786727905
6220.086724758148,0.8909909129142761
6217.142373561859,0.9462461471557617
6211.981399059296,1.001501441001892
6203.976783752441,1.056756615638733
6192.343570232391,1.1120119094848633
6176.211052894592,1.1672672033309937
6140.736074447632,1.2501500844955444
6055.22652721405,1.374474287033081
5926.98986530304,1.4987986087799072
5751.166859149933,1.6231229305267334
5698.674934864044,1.65420401096344
5642.850546836853,1.6852850914001465
5547.43154668808,1.731906771659851
5509.694465637207,1.749389886856079
5447.838514328003,1.7756145000457764
5337.582755088806,1.8149515390396118
5295.563098907471,1.8297028541564941
5276.159053325653,1.8352346420288086
5249.49350976944,1.8435323238372803
5238.555581569672,1.8466439247131348
5221.934335708618,1.8513113260269165
5194.804021596909,1.8583124876022339
5183.650693655014,1.8609378337860107
5183.650693655014,1.8609378337860107
