RF,U
0.0,0.0
2482.535290956497,0.016293875873088837
4937.661592960358,0.03258775174617767
5128.109127044678,0.03869795426726341
5349.936613559723,0.04786325618624687
5540.180592060089,0.06161121651530266
5700.171443939209,0.08223315328359604
5874.974068164825,0.11316605657339096
6075.583145141602,0.15956540405750275
6324.262737751007,0.22916443645954132
6610.16671705246,0.3335629999637604
6910.003290653229,0.49016082286834717
7165.528483390808,0.7250575423240662
7288.153184890747,0.9857595562934875
7300.650992870331,1.0509350299835205
7303.042929172516,1.0753759145736694
7305.386378288269,1.1120370626449585
7306.536556720734,1.125784993171692
7306.079420089722,1.1464070081710815
7305.363460063934,1.1515624523162842
7304.27858543396,1.1567178964614868
7300.128349304199,1.1644511222839355
7284.578400611877,1.1721843481063843
7264.828478813171,1.179917573928833
7243.156741142273,1.1876507997512817
7207.993585586548,1.1992506980895996
7150.5434765815735,1.2166504859924316
7055.571955680847,1.2427500486373901
6895.262743473053,1.2818995714187622
6615.224569320679,1.3406237363815308
6289.408270359039,1.3993479013442993
6202.723686695099,1.4140290021896362
6066.232561588287,1.436050534248352
5844.2473311424255,1.4690828323364258
5756.2837562561035,1.481469988822937
5722.722049236298,1.4861152172088623
5671.245552539825,1.493082880973816
5590.705914974213,1.5035345554351807
5569.17587518692,1.5061475038528442
5520.220138549805,1.5061475038528442
