RF,U
0.0,0.0
2482.535290956497,0.016293875873088837
4941.14098072052,0.03258775174617767
5133.148901939392,0.03869795426726341
5355.917530059814,0.04786325618624687
5547.329939842224,0.06161121651530266
5708.739141464233,0.08223315328359604
5885.555926799774,0.11316605657339096
6089.2175989151,0.15956540405750275
6342.713848590851,0.22916443645954132
6636.339940071106,0.3335629999637604
6948.688715457916,0.49016082286834717
7225.043874740601,0.7250575423240662
7372.826870918274,0.9857595562934875
7392.291732311249,1.0509350299835205
7411.918859958649,1.148698329925537
7413.011658668518,1.1578636169433594
7414.158002853394,1.1716115474700928
7415.926552772522,1.1922334432601929
7399.010042190552,1.2231663465499878
7333.791677951813,1.2540992498397827
7258.8356375694275,1.2850321531295776
7176.831528186798,1.3159650564193726
7041.199191093445,1.362364411354065
6810.825961589813,1.4319634437561035
6406.043847084045,1.5363620519638062
5943.265377044678,1.6407605409622192
5429.660904884338,1.7451591491699219
5294.138457298279,1.77125883102417
5154.530565738678,1.7973583936691284
4937.417855262756,1.8365079164505005
4853.235523700714,1.8511888980865479
4723.054740667343,1.8732104301452637
4673.67357301712,1.8814685344696045
4596.923086643219,1.8938556909561157
4568.040961265564,1.898500919342041
4523.63746714592,1.9054687023162842
4506.279374837875,1.9080815315246582
4480.109522104263,1.9120008945465088
4440.581968307495,1.9178799390792847
4421.519330263138,1.9204870462417603
4401.907478570938,1.9230940341949463
4381.302551746368,1.9257010221481323
4358.65806221962,1.9283080101013184
4333.63670706749,1.930915117263794
4305.864848136902,1.93352210521698
4275.223039627075,1.936129093170166
4239.272238969803,1.938736081123352
4201.597067594528,1.9413431882858276
4160.075631380081,1.9439501762390137
4117.209660291672,1.9465571641921997
4043.4471447467804,1.9504677057266235
3963.49609875679,1.9543782472610474
3910.2253398895264,1.9569852352142334
3852.95286488533,1.959592342376709
3753.45686006546,1.9635027647018433
3651.2511098384857,1.967413306236267
3583.4991748332977,1.9700204133987427
3583.4991748332977,1.9700204133987427
