DISPLACEMENT,FORCE
mm, kN
0,0
0.01352,3.048853771
0.014603333,3.38232208
0.01677,4.054363011
0.018720001,4.372519201
0.020886667,4.653245131
0.02327,4.90079436
0.028686667,5.105809017
0.034753334,5.274244575
0.041903336,5.411205142
0.049920001,5.523495514
0.062703334,5.637487085
0.073319999,5.712347503
0.083936663,5.779551249
0.094336668,5.838248489
0.105603333,5.89524453
0.116653329,5.949688517
0.127703334,5.997326686
0.139403329,6.046666565
0.151103329,6.09515559
0.162370013,6.13939085
0.17407,6.186178676
0.18577,6.229563592
0.197253342,6.270396455
0.208953329,6.312930516
0.220653329,6.352913034
0.231703342,6.387790934
0.242319987,6.420967635
0.253153329,6.453293481
0.262903342,6.482216929
0.272870013,6.511990721
0.28197,6.540063314
0.291503329,6.563031799
0.301470013,6.591955247
0.311219987,6.617475786
0.320753342,6.641295126
0.330286671,6.664263611
0.339819987,6.688933296
0.34957,6.710200582
0.359536658,6.733169067
0.369070013,6.756987896
0.377953316,6.774852274
0.387920013,6.795268705
0.397453329,6.817386846
0.407636671,6.835251223
0.417603329,6.8548168
0.427353329,6.874382376
0.437536671,6.892246754
0.446853342,6.908409932
0.457036658,6.927125164
0.466786658,6.945839886
0.476536671,6.960301865
0.485636658,6.976464533
0.49582,6.993478566
0.50557,7.006238835
0.515753342,7.021551159
0.526153329,7.037713826
0.535253355,7.049623752
0.545436697,7.063234366
0.555836684,7.078546689
0.565586658,7.092157813
0.576420013,7.103216884
0.585953342,7.115977153
0.596136684,7.129587767
0.60567,7.138945638
0.615853342,7.150004198
0.626253329,7.163615323
0.636436671,7.173823538
0.646403355,7.182330555
0.656153329,7.19423997
0.666120026,7.204448185
0.676520013,7.212955202
0.686269987,7.222312563
0.696886697,7.232520778
0.707503329,7.241027795
0.717686671,7.247833102
0.728086658,7.258041317
0.73827,7.267398678
0.748453342,7.273353641
0.758853329,7.280158948
0.769036671,7.290367163
0.779220013,7.297172981
0.789836645,7.301426234
0.799803342,7.310783595
0.810203329,7.317589412
0.820820026,7.321842665
0.831003303,7.328647972
0.84097,7.335453789
0.851369987,7.340557897
0.861769974,7.345662005
0.872603329,7.352467312
0.882786671,7.35757142
0.892536645,7.360974329
0.902719987,7.36863049
0.913119974,7.372883743
0.923520026,7.374584942
0.934136671,7.38139076
0.944103355,7.386494868
0.95472,7.388196067
0.965336632,7.393300175
0.975953342,7.398404282
0.985920026,7.400956336
0.995886658,7.405209589
1.006720013,7.410313697
1.017336645,7.411164552
1.028386658,7.415417805
1.039003355,7.419671568
1.049620065,7.421372768
1.059803342,7.423073967
1.070420039,7.428178075
1.080820026,7.429879784
1.091653316,7.430730128
1.102053316,7.434133037
1.112670013,7.43838629
1.123720026,7.439237145
1.134986619,7.440088
1.145170013,7.442640054
1.15557,7.444341253
1.166403303,7.445192108
1.17723671,7.448594506
1.18807,7.450296215
1.19868671,7.450296215
1.209086697,7.451997415
1.224253381,7.452848269
1.235086671,7.453698614
1.244836645,7.457101522
1.255886658,7.457101522
1.266070052,7.456250668
1.277336645,7.458802721
1.288169935,7.458802721
1.299003355,7.457101522
1.31005342,7.458802721
1.32067,7.459653576
1.33128658,7.457952377
1.34255342,7.457101522
1.35338671,7.457952377
1.36400342,7.457952377
1.37505342,7.455400323
1.38567,7.455400323
1.39585329,7.455400323
1.40668658,7.452848269
1.41687,7.452848269
1.42705329,7.45114656
1.43788671,7.448594506
1.44872,7.448594506
1.45933671,7.445192108
1.47017,7.442640054
1.48078671,7.441789199
1.49162,7.43838629
1.50202,7.433282182
1.51328671,7.431580983
1.52303671,7.428178075
1.53387,7.423073967
1.54448671,7.421372768
1.55575329,7.41626866
1.56615329,7.408612498
1.57698671,7.406060444
1.58738671,7.400105482
1.59843671,7.391598975
1.60948671,7.386494868
1.62053671,7.380539905
1.63093671,7.372032889
1.64155342,7.364376727
1.65152,7.358422275
1.66257,7.349064403
1.67362,7.338005843
1.68467,7.330349682
1.69572,7.321842665
1.70655342,7.309082396
1.71760342,7.29887418
1.72822,7.290367163
1.73948671,7.27675655
1.75010342,7.265697479
1.76115329,7.254638409
1.77242,7.241027795
1.78368671,7.226565816
1.79473671,7.2163576
1.80578671,7.201045277
1.81727,7.184882609
1.82832,7.172122339
1.83915329,7.156810016
1.85085329,7.139795983
1.86233671,7.124483659
1.87295329,7.110022191
1.88400342,7.092157813
1.89548671,7.074293436
1.90718671,7.057279913
1.91802,7.039415536
1.92907,7.020700304
1.93990329,7.004537126
1.95160329,6.984120694
1.96352,6.962853919
1.97457,6.943287832
1.98562,6.92457311
1.99732,6.90075377
2.00902,6.879486484
2.02007,6.859920908
2.03112,6.836952422
2.04303671,6.813983937
2.05430329,6.792716651
2.06622,6.767196112
2.07792,6.741675573
2.08940329,6.717005889
2.10023671,6.692336204
2.11172013,6.665964811
2.12320342,6.641295126
2.13447,6.614923732
2.14638671,6.58514994
2.15787,6.559629401
2.16848671,6.532407152
2.18170329,6.499230452
2.19622,6.462651353
2.21030342,6.425220888
2.22503658,6.387790934
2.23955342,6.348659271
2.25407,6.307826408
2.26880329,6.265292347
2.28332,6.22190743
2.29827,6.176821315
2.31300329,6.131734689
2.32795329,6.085797718
2.34290342,6.038159549
2.35785342,5.989670525
2.37280342,5.9411815
2.38753658,5.891841621
2.40292,5.839099344
2.41787,5.785506212
2.43303671,5.729361026
2.44820342,5.672364985
2.46380329,5.613667745
2.47896987,5.554120161
2.49435329,5.493721211
2.50995342,5.430770719
2.52533658,5.366969371
2.54353671,5.2861545
2.55891987,5.21639819
2.57495342,5.143239482
2.59098671,5.069229918
2.60702,4.989265392
